1,,,,,,,
2,,,,,,,
3,,,,,,,
4,,,,,,,
5,,,,,,,
6,ПРАЙС - ЛИСТ        Экосистема Хабилект,,17.03.26г,«Доктор Чой» - московский центр восточной и европейской медицины.,,"Медицинский центр ""Мудрый доктор"" С-Пб",
7,Наименование услуги,Время,"Стоимость, руб.",,,,
8,Приём главного врача клиники Костроминой И.В.,,,,,,
9,"Авторский лечебно-диагностический приём                                                                                                    Многоуровневая Системная Адаптационная Диагностика и Терапия  (МСАДТ) - ВРТ, БРТ, психосоматическая и психогенетическая диагностика и терапия ",60 - 120 мин,15000,,,,
10,"Лечебно-диагностический приём ""Мать и дитя""                       (мама и ребенок с 0 до 3-х лет)",60 - 120 мин,12 000         *стоимость за 2-х пациентов,,,,
11,Диагностика (ВРТ - вегетативно-резонансный тест),60 мин,6000,,,,
12,Мониторинг                                                                             Изготовление индивидуальных лечебных препаратов,30 мин,3000                  *бесплатно для пациентов на комплексной программе   ,,,,
13,"Авторская методика ""Естественное омоложение""            (комплексная терапия)                                                                                      Детоксикация - биорегуляция - регенерация                        ",60 мин,10 000                    *без учета стоимости препарата                                                                                                          13 000/15 000                     **с плазмолифтингом,,,,
14,Капельница:                                                                                                       - индивидуальная гомеопатическая                                                                            - препараты Heel                                                                                     - глутатион                                                                                                   - Лаеннек,,,,,,
15,Гомеопунктура и биопунктура:                                                                    индивидуальный гомеопатический препарат.                                             препараты Heel                                                                                    МЭЛСМОН     ,,,,,,
16,Карбокситерапия,,,,,,
17,"**Плазмолифтинг PRP-терапия, 1/2 пробирки",,,,,,
18,"Лечебно-диагностический приём (программа лояльности для пенсионеров 70+ и участников СВО, дети с 3 до 11 лет)",60 мин,6000,,,,
19,Диагностика и реабилитация                                             опорно-двигательного аппарата (ОДА),,,,,,
20,Хабилект (сенсорная 3D диагностика и БОС),,,,,,
21,Диагностика ОДА с помощью дополненной реальности и 3D-анализ движений на аппарате Хабилект с подбором ЛФК          *промежуточная диагностика Хабилект в рамках программы по реабилитации бесплатно,30 мин,3500,,,,
22,Реабилитация с помощью биологически-обратной связи (БОС) на аппарате Хабилект - 1 занятие,20 мин,2000,,,,
23,Диагностика и реабилитация с ЛФК и контролем выполнения (БОС) на аппарате Хабилект (с оператором-инструктором + видеоролик упражнений для домашних занятий),50 мин,5000,,,,
24,Комплексная диагностика: Консультация специалиста по реабилитации с подбором ЛФК и контролем выполнения плюс диагностика и 3D анализ движений на аппарате Хабилект (без БОС),60 мин,6000,,,,
25,Специалист по реабилитации,,,,,,
26,Прием специалиста по реабилитации с подбором ЛФК ,40 мин,3000,,,,
27,Мониторинг специалиста по реабилитации с коррекцией ЛФК ,30 мин,2000,,,,
28,Комплексная программа:                                                              Диагностика Хабилект                                                                                  ЛФК (+ видеоролик с комплексом упражнений для домашних занятий)                                                                                                       массаж 45 мин,90 мин,10000,,,,
29,Массаж,,,,,,
30,Массаж общий (медицинский/спортивный/расслабляющий/лимфодренажный),60 мин,6000,,,,
31,Массаж спины и шейно-воротниковой зоны - 2 зоны,45 мин,5000,,,,
32,Массаж шейно-воротниковой зоны или ног - 1 зона,30 мин,3500,,,,
33,Массаж стоп озонированным маслом,20 - 30 мин,3500,,,,
34,Курс массажа,,,,,,
35,Массаж общий - курс 10 сеансов (1 прием в подарок),60 мин,54000,,,,
36,Массаж спины и шейно-воротниковой зоны - курс 10 сеансов (1 прием в подарок),45 мин,45000,,,,
37,Массаж шейно-воротниковой зоны или ног - курс 10 сеансов (1 прием в подарок),30 мин,31500,,,,
38,Мануальная терапия,,,,,,
39,"Консультация мануального терапевта, невролог",30 мин,3500,,,,
40,"Прием мануального терапевта, невролога",60 мин,8000,,,,
41,Кинезиодиагностика/терапия,,,,,,
42,Кинезиотерапия: кинезио-тестирование и кинезио-массаж ,60 мин,8000?,,,,
43,Индивидуальные ортопедические стельки,,,,,,
44,Изготовление индивидуальных стелек Formthotics ,30 мин,12900,,,,
45,Формовка (через 2 месяца),30 мин,2000,,,,
46,Изготовление индивидуальных стелек Фудмастер ,30 мин,7900,,,,
47,Психология,,,,,,
48,Приём интегративного психолога Ференц Н.Ю.                    Психодиагностика и терапия,60 мин,5000,,,,
49,,90 мин,7000,,,,
50,,120 мин,10000,,,,
51,Остеопатия,,,,,,
52,"Диагностика и консультация врача-остеопата, мануального терапевта, кандидата медицинских наук Нехорошевой Л.С. ",30 мин,4000,,,,
53,"Приём врача-остеопата, мануального терапевта, кандидата медицинских наук Нехорошевой Л.С. ",60 - 90 мин,10000,,,,
54,"Диагностика и консультация врача-остеопата, невролога Вертлиб В.П.",30 мин,4000,,,,
55,"Приём врача-остеопата, невролога Вертлиб В.П. ",90 мин,10000,,,,
56,Приём врача-остеопата. Дети от 0 до 3 лет ,30 - 60 мин,6000,,,,
57,Приём врача-остеопата. Дети от 3 до 7 лет ,до 60 мин,7000,,,,
58,Наименование услуги,Время,Стоимость,,,,
59,Рефлексотерапия,,,,,,
60,"Диагностика и консультация зав.отделения, врача акушера-гинеколога, рефлексотерапевта Кондратовой Е.А.",30 мин,3500,,,,
61,"Экспресс-приём зав.отделения, врача акушера-гинеколога, рефлексотерапевта Кондратовой Е.А.",30 мин,4000,,,,
62,Корпоральная иглорефлексотерапия (ИРТ) 10-15 игл,до 60 мин,5000,,,,
63,"Микропунктура (аурикулотерапия, краниотерапия, Су-Джок)",30 мин,4500,,,,
64,Лазеропунктура,до 30 мин,3000,,,,
65,Акупунктурный лифтинг лица и тела,до 60 мин,6000,,,,
66,Семянотерапия,10 мин,,,,,
67,Акупунктурный авторский метод Кондратовой Е.А. «Восточный экспресс» (кетгут-терапия)  10 нитей + Подарок - нить в ухо для похудения,60 мин,12500,,,,
68,Авторская программа Кондратовой Е.А. «Женское здоровье»      Биоакупунктура (низ живота) + вакуумная гармонизация + активизация ухо (иголка),до 60 мин, 8 000                     *без учета стоимости препарата,,,,
69,"Тейпирование                                                                            процедуру проводит зав.отделением, врач-рефлексотерапевт Кондратова Е.А.",,,,,,
70,Кинезиотейпирование 1 зона,10 мин,2500,,,,
71,Кинезиотейпирование 2 зоны ,20 мин,3500,,,,
72,Кинезиотейпирование 3 зоны ,30 мин,4500,,,,
73,Акупунктурное кросс-тейпирование 1-2 зоны ,10 мин,2000,,,,
74,Акупунктурное кросс-тейпирование 3-4 зоны ,30 мин,2500,,,,
75,Акупунктурное кросс-тейпирование 5-6 зон ,30 мин,3000,,,,
76,Банки,,,,,,
77,Постановка банок 1 зона,40 мин,3000,,,,
78,Постановка банок 2 зоны,50 мин,4000,,,,
79,Инфузионная терапия,,,,,,
80,"Гомеопатическая капельница препаратами Heel (детоксикация, естественное омоложение)",20 мин,2 000                         *без стоимости препарата,,,,
81,Гомеопатическая капельница препаратами Heel + озон ,20 мин ,3 000                        *без стоимости препарата,,,,
82,Капельница с глутатионом (антиоксидант),30 мин,3000,,,,
83,Капельница с элькаром (левокарнитин),30 мин,2500,,,,
84,Капельница с липоевой кислотой (Германия),40 мин,2500,,,,
85,Капельница с цитофлавином ,40 мин,2500,,,,
86,Капельница Лаеннек (Япония) 1 ампула 2 мл,60 мин,4500,,,,
87,Капельница Лаеннек (Япония) 2 ампулы 4 мл                    ,60 мин,6000,,,,
88,Капельница Лаеннек (Япония) 3 ампулы 6 мл                  ,60 мин,8000,,,,
89,Капельница Лаеннек (Япония) 4 ампулы 8 мл             ,60 мин,10000,,,,
90,Капельница Лаеннек (Япония) 5 ампул 10 мл                 ,60 мин,12000,,,,
91,Наименование услуги,Время,Стоимость,,,,
92,Инъекционная терапия,,,,,,
93,Гомеопунктура с препаратами HEEL,30 мин,3 500                     *без учета стоимости препарата,,,,
94,Биопунктура МЭЛСМОН (плацента) иммуномодуляция и омоложение,30 мин,7000,,,,
95,"PRP-терапия (плазмотерапия), 1 пробирка (акупунктурное введение)",30 мин,7000,,,,
96,"PRP-терапия (плазмотерапия), 1 пробирка",30 мин,7000,,,,
97,"PRP-терапия, 2 пробирки",30 мин,9000,,,,
98,"PRP-терапия, 3 пробирки",до 45 мин,11000,,,,
99,"PRP-терапия, 4 пробирки",до 45 мин,13000,,,,
100,"PRP-терапия, 5 пробирок",до 60 мин,15000,,,,
101,Индивидуальный иммуномодулятор из плазмы человека – таблетка «Принцесса на горошине» (перорально),60 мин,7000,,,,
102,Индивидуальная омолаживающая сыворотка из плазмы человека (на 14 дней использования),30 мин,5500,,,,
103,Карбокситерапия 1 зона,15 мин,3000,,,,
104,Карбокситерапия 2 зоны,30 мин,4500,,,,
105,Карбокситерапия общая ,60 мин,6000,,,,
106,Внутримышечные инъекции,10 мин,600,,,,
107,Внутримышечные инъекция (выездная),,1200                 *оплата такси отдельно,,,,
108,Наименование услуги,Время,Стоимость,,,,
109,Озонотерапия,,,,,,
110,"Капельница с озоном (детоксикация, оксигенация, иммуномодуляция)",20 мин,3000,,,,
111,Мезотерапия озоном 1 зона,15 мин,3000,,,,
112,Мезотерапия озоном 2 зона,30 мин,4500,,,,
113,Мезотерапия озоном общая,60 мин,6000,,,,
114,Озоновая камера,30 мин,3500,,,,
115,Физиотерапия,,,,,,
116,HILT (высокоинтенсивная лазерная терапия) 1 зона,30 мин,5000,,,,
117,HILT (высокоинтенсивная лазерная терапия) 2 зоны,40 мин,8000,,,,
118,Транскраниальная магнитотерапия ТКМТ,15 мин,3500,,,,
119,Транскраниальная электростимуляция,15 мин,3000,,,,
